hit_id,particle_id,tx,ty,tz,tpx,tpy,tpz,weight
69,810658172128722944,-77.4491,-25.5124, -1502,-0.229708,-0.0491963,-4.24202,5.36785e-06
70,337777256317321216,-66.8354,-34.5328, -1502,-1.11433,-0.606679,-25.5119,1.44142e-05
71,801649667203923968,-62.6204,-24.9413, -1502,-0.376057,-0.168404,-9.3156,6.45466e-06
72,153138742566060032,-57.7057,-32.7395, -1502,-0.147237,-0.107768,-4.1163,6.96788e-06
73,63059946790453248,-59.7528,-24.9753, -1502,-0.488514,-0.223493,-12.4519,7.93953e-06
74,63055754902372352,-90.9773,-33.5516, -1502,-0.179569,-0.0311362,-2.83158,8.13311e-06
75,220681604421386240,-67.8059,-37.0913, -1502,-0.30806,-0.140799,-6.53697,5.36785e-06
76,495397814436626432,-85.7614,-42.4418, -1502,-0.767096,-0.347868,-13.2521,1.08266e-05
77,526921637438685184,-101.019,-34.0052, -1498,-0.377867,-0.16083,-5.74783,8.13311e-06
78,909728499118374912,-134.449,-53.4929, -1498,-0.218351,-0.039375,-2.22607,3.02482e-06
79,495403861750579200,-108.281,-28.9415, -1498,-0.870654,-0.288526,-12.0576,1.17755e-05
80,229685436421767168,-155.635,-47.2355, -1498,-0.441685,-0.183373,-4.42441,3.55834e-06
81,0,-122.229,-39.9046, -1498,-348771,134342,-927529,     0
82,671041292280528896,-116.116,-30.5526, -1498,-0.891936,-0.201884,-11.3287,1.1676e-05
83,94579303026524160,-127.499,-43.7069, -1498,-0.478564,-0.206238,-5.8601,6.46258e-06
84,112599336533098496,-119.433,-37.9558, -1498,-0.352401,-0.0711508,-4.28798,7.55881e-06
85,734096841024471040,-141.855,-51.6835, -1498,-0.950462,-0.300114,-9.84851,9.02315e-06
86,855686265662603264,-149.342,-54.1656, -1498,-0.46398,-0.215376,-4.88107,5.26388e-06
87,549440803806642176,-111.997,-30.4351, -1498,-0.323552,-0.12301,-4.50251,7.55881e-06
88,734105568398016512,-99.6609,-40.7053, -1498,-0.270406,-0.142133,-4.27705,6.56826e-06
89,225183829659222016,-94.0383,-48.4485, -1502,-1.35628,-0.737058,-21.8223,1.72388e-05
90,860191583276892160,-157.851,-67.3031, -1502,-0.199598,-0.137692,-2.10047,3.5968e-06
91,418835864857083904,-131.726,-63.8832, -1502,-0.437096,-0.264174,-5.24546,5.17644e-06
92,711571970939944960,-109.616,-48.6842, -1502,-1.16344,-0.561994,-16.135,2.23307e-05
93,801645062998982656,-133.845,-54.5192, -1502,-0.480446,-0.240787,-5.6052,5.35821e-06
94,968291374631747584,-135.808,-68.6812, -1502,-0.127633,-0.114645,-1.64894,3.60097e-06
95,707069333385248768,-102.277,-47.9044, -1502,-0.303061,-0.104085,-4.2517,6.96788e-06
96,0,-120.169,-46.1821, -1502,510661,171042,-842597,     0
97,909728499118374912,-134.841,-53.5629, -1502,-0.216423,-0.0379552,-2.22575,3.60097e-06
98,396317316964417536,-135.121,-59.7508, -1502,-0.427411,-0.239803,-4.96258,5.15097e-06
99,157627911103315968,-135.069,-66.2965, -1502,-0.908705,-0.395255,-9.91174,8.21003e-06
100,153123349403271168,-115.055,-48.653, -1502,-0.927506,-0.349203,-11.9103,1.34902e-05
101,734105568398016512,-99.9128,-40.8378, -1502,-0.268453,-0.140983,-4.27672,7.47422e-06
102,166645212121137152,-99.557,-52.4959, -1502,-0.235711,-0.160047,-3.85762,6.04963e-06
103,657534066811207680,  -148,-69.4806, -1502,-0.482439,-0.174106,-4.64034,4.66651e-06
104,558454600131149824,-70.0203,-35.9204,-1497.5,-0.421392,-0.244724,-9.30402,5.17434e-06
105,418835727418130432,-50.1964,-37.6878,-1497.5,-0.335401,-0.276381,-10.3776,7.04869e-06
106,324262059388698624,-62.4658,-42.9923,-1497.5,-0.38448,-0.296736,-9.57248,4.92053e-06
107,878209761357594624,-85.8024,-45.6608,-1497.5,-0.356674,-0.153499,-5.94191,7.47422e-06
108,292738373825593344,-79.6543,-57.4694,-1497.5,-0.687695,-0.529604,-13.3292,9.19006e-06
109,968279005125935104,-62.1702,-36.0413,-1497.5,-0.439909,-0.226753,-10.2632,6.96788e-06
110,337777256317321216,-66.6385,-34.4261,-1497.5,-1.1173,-0.603279,-25.5127,1.29358e-05
111,396317385683894272,-51.4633,-35.7064,-1497.5,-1.0038,-0.668684,-28.8959,1.50023e-05
112,0,-60.0871,-45.6593,-1497.5,-551643,-197642,-810325,     0
113,671056548004364288,-60.4268,-38.2476,-1497.5,-0.15897,-0.0730666,-3.64825,7.47422e-06
114,779123010413002752,-74.813,-42.1785,-1497.5,-0.325838,-0.159249,-6.27887,6.04963e-06
115,707069195946295296,-50.8213,-28.7739,-1497.5,-0.415159,-0.211132,-11.907,6.19367e-06
116,707073044236992512,-47.8949,-35.2954,-1497.5,-0.291344,-0.238776,-9.56549,7.04869e-06
117,220686071187374080,-71.2427,-45.4142,-1497.5,-0.296767,-0.219415,-6.53043,6.45466e-06
118,220681604421386240,-67.5928,-36.9946,-1497.5,-0.309916,-0.140766,-6.53772,4.92053e-06
119,153138742566060032,-57.5432,-32.622,-1497.5,-0.149351,-0.107095,-4.11689,6.19367e-06
120,0,-36.3521,-13.1157,-1497.5,-554127,95545.4,-826931,     0
121,954766625695858688,-75.4406,-47.9269,-1497.5,-1.11351,-0.741974,-22.2083,1.62658e-05
122,90075978277060608,-84.4952,-51.066,-1497.5,-0.529931,-0.353196,-9.7943,9.97518e-06
123,671038268623552512,-63.1572,-46.31,-1497.5,-0.323637,-0.272968,-8.08006,5.17434e-06
124,225183829659222016,-93.7899,-48.3135, -1498,-1.35431,-0.735675,-21.8229,1.54707e-05
125,801657844821655552,-120.118,-70.9844, -1498,-0.280988,-0.218955,-3.82471,7.04869e-06
126,707069333385248768,-101.992,-47.8066, -1498,-0.302882,-0.10389,-4.25411,6.19367e-06
127,968291374631747584,-135.499,-68.4054, -1498,-0.127284,-0.112959,-1.64958,3.02482e-06
128,157627911103315968,-134.703,-66.1366, -1498,-0.906424,-0.396937,-9.91248,6.41057e-06
129,707072975517515776,-96.5212,-52.0511, -1498,-0.818093,-0.473015,-12.855,1.2764e-05
130,418835864857083904,-131.393,-63.6816, -1498,-0.438366,-0.264485,-5.246,4.50851e-06
131,166645212121137152,-99.3113,-52.3301, -1498,-0.237429,-0.159852,-3.85804,5.47348e-06
132,693555373407207424,-107.123,-62.0121, -1498,-0.129078,-0.120422,-2.09996,8.87338e-06
133,752103268074651648,-114.907,-62.6014, -1498,-0.5736,-0.269628,-7.18622,9.14066e-06
134,968285258598318080,-127.574,-70.641, -1498,-0.273645,-0.20029,-3.45682,3.55834e-06
135,432346938617102336,-123.217,-77.99, -1498,-0.785042,-0.554479,-9.93132,6.04476e-06
136,99081184666976256,-150.89,-83.1702, -1498,-0.206716,-0.173964,-2.3789,6.56826e-06
137,0,-131.354,-98.5764, -1502,153028,246426,-957004,     0
138,657543481379520512,-121.725,-84.7471, -1502,-0.262473,-0.233379,-3.43806,3.73711e-06
139,734105499678539776,-87.1858,-64.5459, -1502,-0.290612,-0.170742,-4.66403,6.96788e-06
140,716074608494641152,-92.8167,-71.3876, -1502,-0.195752,-0.0997765,-2.72606,8.13311e-06
141,734116288636387328,-144.707,-94.822, -1502,-0.147373,-0.0642782,-1.26125,5.45443e-06
142,355786775743954944,-118.13,-85.7886, -1502,-0.339013,-0.188832,-3.99616,5.15097e-06
143,63053899476500480,-119.899,-88.5598, -1502,-1.41368,-0.989036,-17.3448,1.48656e-05
144,432346938617102336,-123.533,-78.2133, -1502,-0.783892,-0.554241,-9.93096,8.73132e-06
145,801650629276598272,-120.009,-80.9803, -1502,-0.155455,-0.047916,-1.63703,3.55834e-06
146,63058366242488320,-114.879,-73.9269, -1502,-0.583132,-0.319379,-7.26593,8.84556e-06
147,171138366388043776,-68.0332,-66.3245,-1502.5,-0.417954,-0.448808,-9.72927,8.26504e-06
148,94577859917512704,-39.273,-42.888,-1502.5,-0.31089,-0.361763,-12.3373,7.47422e-06
149,220680230031851520,-50.4179,-51.6237,-1502.5,-0.623057,-0.664945,-18.9141,1.15582e-05
150,292738373825593344,-79.9123,-57.668,-1502.5,-0.687747,-0.529415,-13.3287,1.02404e-05
151,671038268623552512,-63.3573,-46.4784,-1502.5,-0.322751,-0.27104,-8.07963,5.67915e-06
152,774621197492027392,-62.8203,-52.9889,-1502.5,-0.222548,-0.14873,-4.92483,7.47422e-06
153,747600836678385664,-41.3307,-38.2081,-1502.5,-0.154405,-0.110589,-5.02833,7.47422e-06
154,914233885452140544,-44.631,-39.941,-1502.5,-0.284821,-0.232796,-9.09001,8.87338e-06
155,324262059388698624,-62.6665,-43.1477,-1502.5,-0.384697,-0.297847,-9.57173,5.36785e-06
156,941263179797757952,-62.8822,-49.2425,-1502.5,-0.148604,-0.152004,-3.95545,6.04963e-06
157,837670630202540032,-81.0935,-60.5838,-1502.5,-0.323616,-0.197172,-5.57674,6.96788e-06
158,261209877899116544,-42.4216,-41.8731,-1502.5,-0.232051,-0.257731,-8.63011,8.87338e-06
159,743099092476887040,-42.8158,-39.2628,-1502.5,-0.337074,-0.28097,-11.4928,8.13311e-06
160,202663769938067456,-41.8264,-37.5371,-1502.5,-0.174017,-0.180219,-6.68508,6.45466e-06
161,657530836995801088,-69.2958,-59.2077,-1502.5,-0.442,-0.414776,-9.93739,8.1257e-06
162,373799524985995264,-54.275,-46.007,-1502.5,-0.350219,-0.32581,-10.0238,6.96788e-06
163,418835727418130432,-50.3572,-37.8209,-1502.5,-0.332255,-0.275714,-10.3767,8.13311e-06
164,396317385683894272,-51.637,-35.8221,-1502.5,-1.00393,-0.668711,-28.8953,1.73104e-05
165,707073044236992512,-48.0473,-35.42,-1502.5,-0.2919,-0.238128,-9.56502,8.13311e-06
166,716074608494641152,-92.5313,-71.2401, -1498,-0.193538,-0.100751,-2.72675,7.04869e-06
167,734105499678539776,-86.9367,-64.3987, -1498,-0.290116,-0.1727,-4.66454,6.19367e-06
168,716074471055687680,-100.913,-89.0208, -1498,-0.894206,-0.727033,-12.7766,1.54493e-05
169,671045003132272640,-80.5441,-67.9158, -1498,-0.351213,-0.248898,-6.08176,8.87338e-06
170,126102988589629440,-81.5411,-71.642, -1498,-0.125702,-0.157122,-2.81435,6.56826e-06
171,693555510846160896,-94.609,-87.1281, -1498,-0.47208,-0.489996,-7.94591,6.54998e-06
172,355784439281745920,-116.493,-98.2523, -1498,-2.53452,-2.19938,-32.9641,2.54699e-05
173,90075222362816512,-95.4466,-88.3646, -1498,-0.365764,-0.390612,-6.16962,4.2754e-06
174,63053830757023744,-81.5427,-69.0739, -1498,-5.10339,-4.3647,-94.048,4.06655e-05
175,0,-130.567,-104.772, -1498,-320269,-414379,-851891,     0
176,0,-120.537,-103.498, -1498,244602,337208,-909099,     0
177,968278867686981632,-99.326,-84.5284, -1498,-0.680899,-0.529393,-9.83129,1.18918e-05
178,153131527021002752,-85.5524,-72.663, -1498,-0.432455,-0.320911,-7.14952,9.38709e-06
179,738591507119865856,-102.724,-88.0725, -1498,-0.292904,-0.199459,-3.86055,7.04869e-06
180,657530768276324352,-41.2109,-56.3104, -1498,-0.173825,-0.19675,-5.62143,6.56826e-06
181,743099092476887040,-42.6833,-39.1525, -1498,-0.339821,-0.282553,-11.4935,7.04869e-06
182,941254108826828800,-34.4952,-52.3011, -1498,-0.273101,-0.378586,-11.1637,6.19367e-06
183,261209877899116544,-42.3003,-41.7389, -1498,-0.232666,-0.256798,-8.63058,7.55881e-06
184,94577859917512704,-39.1598,-42.7557, -1498,-0.309571,-0.36404,-12.3387,6.56826e-06
185,747603516737978368,-65.6472,-69.7905, -1498,-0.939561,-0.958475,-20.9413,1.63097e-05
186,135108057540591616,-58.0466,-63.6515, -1498,-0.505972,-0.513182,-12.6448,8.7856e-06
187,211676466750947328,-55.2211,-69.8938, -1498,-0.423303,-0.575794,-12.0264,8.65925e-06
188,153126854096584704,-49.1578,-62.9581, -1498,-0.609874,-0.739299,-18.0051,1.04817e-05
189,337782685155983360,-49.5316,-67.2319, -1498,-0.22229,-0.265532,-6.3495,5.17434e-06
190,707066309728272384,-58.039,-69.5296, -1498,-0.454563,-0.581576,-12.1941,9.62682e-06
191,747600836678385664,-41.1926,-38.1089, -1498,-0.154646,-0.110743,-5.02945,6.56826e-06
192,743095656503050240,-55.1644,-69.8214, -1498,-0.527763,-0.616012,-13.6497,1.04391e-05
193,914233885452140544,-44.4897,-39.8259, -1498,-0.285064,-0.232783,-9.09059,7.55881e-06
194,716072546910339072,-61.0266,-79.5922, -1498,-0.19069,-0.300528,-5.29207,7.47422e-06
195,707067958995714048,-46.8841,-55.2193, -1498,-0.342157,-0.365438,-10.3408,7.47456e-06
196,202663769938067456,-41.7094,-37.4155, -1498,-0.173062,-0.181642,-6.68558,5.79264e-06
197,220680230031851520,-50.27,-51.4656, -1498,-0.620598,-0.664451,-18.9147,1.02739e-05
198,153123280683794432,-84.4692,-88.0995, -1502,-1.00719,-1.10118,-18.3792,1.80539e-05
199,126102988589629440,-81.7192,-71.8642, -1502,-0.124493,-0.154775,-2.81387,7.47422e-06
200,337771964917612544,-103.024,-104.477, -1502,-0.414913,-0.479115,-6.51055,6.1966e-06
201,445866396153282560,-94.8384,-93.2981, -1502,-0.349174,-0.288926,-5.13984,5.09606e-06
202,0,-82.2043,-71.6106, -1502,6184.98,211055,-977455,     0
203,693555510846160896,-94.847,-87.3746, -1502,-0.473462,-0.489388,-7.94532,8.4422e-06
204,153128572083503104,-109.885,-119.092, -1502,-0.562398,-0.536717,-7.20538,7.44883e-06
205,693554823651393536,-75.8417,-76.5861, -1502,-0.100921,-0.152805,-2.53642,9.85932e-06
206,734116219916910592,-118.57,-122.516, -1502,-0.639702,-0.707372,-8.30204,1.4865e-05
207,743107544972525568,-78.0655,-88.3262, -1502,-0.256724,-0.348764,-5.49853,7.47422e-06
208,0,-113.661,-112.872, -1502,51902.4,60604.5,-996812,     0
209,90075222362816512,-95.6835,-88.6173, -1502,-0.364701,-0.389136,-6.16913,5.41551e-06
210,0,-93.9617,-82.8053, -1502,-133462,-303094,-943569,     0
211,225182798867070976,-105.855,-126.961, -1498,-0.509277,-0.5363,-6.6595,7.03946e-06
212,801644994279505920,-77.0931,-90.5645, -1498,-0.530917,-0.571232,-9.83992,1.58274e-05
213,743107544972525568,-77.8784,-88.0722, -1498,-0.257884,-0.349625,-5.49893,6.56826e-06
214,734121648755572736,-91.707,-121.437, -1498,-0.169178,-0.285228,-2.85324,3.02482e-06
215,396317248244940800,-93.5817,-111.396, -1498,-0.215116,-0.328474,-4.02409,5.09606e-06
216,851181360365174784,-51.8593,-80.1605, -1502,-0.209287,-0.258621,-5.21643,7.47422e-06
217,337782685155983360,-49.6717,-67.3991, -1502,-0.222798,-0.265137,-6.34903,5.67915e-06
218,9008298766368768,-46.9318,-85.7783, -1502,-0.126945,-0.304518,-4.98157,6.96788e-06
219,873731656656093184,-32.2783,-51.5091, -1502,-0.475475,-0.666646,-20.7605,1.12555e-05
220,801652003666132992,-38.0268,-58.7479, -1502,-0.1097,-0.213553,-5.08433,7.47422e-06
221,252202197608038400,-46.4502,-84.938, -1502,-0.12299,-0.154357,-3.07408,6.04963e-06
222,63058434961965056,-45.0435,-70.51, -1502,-0.851234,-1.3786,-29.0036,1.68494e-05
223,941254108826828800,-34.5926,-52.4367, -1502,-0.270167,-0.377439,-11.1632,6.96788e-06
224,270217901787578368,-35.881,-59.6587, -1502,-0.216376,-0.402946,-9.7988,6.45466e-06
225,171138435107520512,-22.9608,-50.3142, -1502,-0.514508,-1.17007,-34.77,1.82786e-05
226,968276462505295872,-40.9131,-62.5305, -1502,-0.278724,-0.475608,-10.985,7.49913e-06
227,657530768276324352,-41.3344,-56.4497, -1502,-0.174065,-0.194294,-5.61811,7.47422e-06
228,468374567404961792,-35.9818,-59.2808, -1502,-0.167321,-0.239767,-6.40351,7.47422e-06
229,734121648755572736,-91.9442,-121.836, -1502,-0.168716,-0.2851,-2.85272,3.60097e-06
230,0,-93.6717,-143.179, -1502,-146693,-701260,-697650,     0
231,292755072658440192,-92.377,-147.505, -1502,-0.248153,-0.30116,-3.38106,3.22733e-06
232,0,-85.5855,-126.194, -1502,-428601,-541038,-723588,     0
233,851185895850639360,-80.1674,-109.833, -1502,-0.212945,-0.214985,-3.29479,5.09398e-06
234,220676656619061248,-54.8894,-91.7203, -1502,-0.167743,-0.218291,-3.82052,7.47422e-06
235,90076046996537344,-81.4084,-117.793, -1502,-0.713741,-0.952663,-12.5969,7.877e-06
236,864701092779261952,-59.3616,-111.021, -1498,-0.055532,-0.177874,-2.18772,9.85932e-06
237,0,-52.5797,-92.996, -1498,-419442,-465161,-779547,     0
238,220676656619061248,-54.7141,-91.4928, -1498,-0.167108,-0.216646,-3.82128,6.56826e-06
239,319755642262781952,-73.8357,-126.124, -1498,-0.400897,-0.596819,-7.31733,6.90941e-06
240,369300254685659136,-78.7906,-146.759, -1498,-0.129657,-0.385687,-3.7895,5.09606e-06
241,450361062248677376,-50.8107,-101.671, -1498,-0.375163,-0.830753,-12.0284,9.65007e-06
242,0,-72.2399,-134.216, -1498,-155860,-88625.9,-983795,     0
243,301759866731495424,-79.816,-146.056, -1498,-0.1147,-0.312647,-2.95461,5.03236e-06
244,0,-76.672,-133.256, -1498,-73924.9,-184854,-979982,     0
245,684570164385021952,-44.8315,-95.7829, -1498,-0.136696,-0.210189,-3.41696,6.56826e-06
246,954769305755451392,-37.4391,-77.1578,-1497.5,-0.0574289,-0.188061,-3.47269,6.04963e-06
247,499900589430276096,-29.9227,-78.049,-1497.5,-0.141754,-0.299929,-5.93443,6.96788e-06
248,968286083232038912,-14.6996,-56.2427,-1497.5,-0.189147,-0.654471,-17.5713,8.04621e-06
249,851186376886976512,-16.9592,-52.829,-1497.5,-0.0995706,-0.368925,-10.3346,7.04869e-06
250,941254040107352064,-21.3564,-57.5889,-1497.5,-0.175443,-0.534509,-13.7289,6.78776e-06
251,693554686212440064,-30.4339,-53.7923,-1497.5,-0.343266,-0.643524,-17.8015,1.02538e-05
252,171138435107520512,-22.8943,-50.1626,-1497.5,-0.513269,-1.172,-34.7708,1.58415e-05
253,220695279597256704,-35.4496,-77.4762,-1497.5,-0.0565367,-0.186353,-3.33797,6.04963e-06
254,0,-26.033,-71.2556,-1497.5,110021,657988,-744948,     0
255,409830727186644992,-19.2277,-64.9747,-1497.5,-0.0845701,-0.213886,-5.0489,5.47348e-06
256,905224006137806848,-23.1667,-65.3749,-1497.5,-0.120716,-0.407874,-9.14924,5.79264e-06
257,873731587936616448,-20.9129,-67.2761,-1497.5,-0.248432,-0.908326,-19.1017,9.84243e-06
258,860191995593752576,-24.2326,-70.4984,-1497.5,-0.0422667,-0.188894,-3.91688,5.79264e-06
259,801651591349272576,-25.3114,-81.8419,-1497.5,-0.278704,-0.809673,-15.0993,9.1977e-06
260,117093727750586368,-25.6997,-64.9385,-1497.5,-0.319567,-0.880456,-20.1493,1.18934e-05
261,797140363859984384,-27.7286,-63.2343,-1497.5,-0.181377,-0.468312,-10.9082,7.01297e-06
262,684570164385021952,-44.9913,-96.0282, -1502,-0.136229,-0.208815,-3.41654,7.47422e-06
263,423340976312942592,-47.8368,-108.353, -1502,-0.161068,-0.279369,-4.04392,1.09089e-05
264,450361062248677376,-50.9357,-101.947, -1502,-0.376238,-0.829677,-12.0279,1.07529e-05
265,454866586021396480,-57.131,-122.618, -1502,-0.170734,-0.473283,-5.62211,6.30949e-06
266,954769099597021184,-56.1862,-122.607, -1502,-0.244499,-0.437172,-5.57707,8.32443e-06
267,657547054792310784,-55.9772,-134.645, -1502,-0.114383,-0.385981,-4.06359,8.87338e-06
268,45043899013529600,-52.5888,-113.063, -1502,-0.249011,-0.439871,-6.21762,8.33525e-06
269,454868785044652032,-33.9999,-102.277, -1498,-0.214744,-0.545791,-8.15525,7.94989e-06
270,265714302160207872,-43.8199,-120.29, -1498,-0.0544263,-0.26627,-3.08286,7.04869e-06
271,954765594903707648,-43.6335,-134.496, -1498,-0.101001,-0.441648,-4.75463,5.09398e-06
272,662035055098462208,-38.5948,-124.202, -1498,-0.0523027,-0.301621,-3.4993,1.09089e-05
273,63061458618941440,-42.1991,-151.538, -1498,-0.115944,-0.588801,-5.65529,4.13492e-06
274,63067986969231360,-44.7929,-143.842, -1498,-0.0844621,-0.128526,-1.52568,6.56826e-06
275,873736604458418176,-44.4572,-139.977, -1498,-0.167173,-0.351177,-3.98981,5.15097e-06
276,954768481121730560,-47.7396,-136.035, -1498,-0.129877,-0.234214,-2.74403,5.09398e-06
277,819656850168348672,-14.5226,-59.8095,-1502.5,-0.0540261,-0.146981,-3.78468,8.87338e-06
278,797142700322193408,-14.1402,-90.7591,-1502.5,-0.081712,-0.318758,-5.40946,5.67915e-06
279,238694353663426560,-15.2509,-80.4027,-1502.5,-0.137709,-0.604035,-11.5113,7.78174e-06
